id,label
0,00
1,11
2,22
3,33
4,44
5,55
6,66
7,77
8,88
9,99
10,1010
11,1111
12,1212
13,1313
14,1414
15,1515
16,1616
17,1717
18,1818
19,1919
20,2020
21,2121
22,2222
23,2323
24,2424
25,2525
26,2626
27,2727
28,2828
29,2929
30,3030
31,3131
32,3232
33,3333
34,3434
35,3535
36,3636
37,3737
38,3838
39,3939
40,4040
41,4141
42,4242
43,4343
44,4444
45,4545
46,4646
47,4747
48,4848
49,4949
50,5050
51,5151
52,5252
53,5353
54,5454
55,5555
56,5656
57,5757
58,5858
59,5959
60,6060
61,6161
62,6262
63,6363
64,6464
65,6565
66,6666
67,6767
68,6868
69,6969
70,7070
71,7171
72,7272
73,7373
74,7474
75,7575
76,7676
77,7777
78,7878
79,7979
80,8080
81,8181
82,8282
83,8383
84,8484
85,8585
86,8686
87,8787
88,8888
89,8989
90,9090
91,9191
92,9292
93,9393
94,9494
95,9595
96,9696
97,9797
98,9898
99,9999
100,100100
101,101101
102,102102
103,103103
104,104104
105,105105
106,106106
107,107107
108,108108
109,109109
110,110110
111,111111
112,112112
113,113113
114,114114
115,115115
116,116116
117,117117
118,118118
119,119119
120,120120
121,121121
122,122122
123,123123
124,124124
125,125125
126,126126
127,127127
128,128128
129,129129
130,130130
131,131131
132,132132
133,133133
134,134134
135,135135
136,136136
137,137137
138,138138
139,139139
140,140140
141,141141
142,142142
143,143143
144,144144
145,145145
146,146146
147,147147
148,148148
149,149149
150,150150
151,151151
152,152152
153,153153
154,154154
155,155155
156,156156
157,157157
158,158158
159,159159
160,160160
161,161161
162,162162
163,163163
164,164164
165,165165
166,166166
167,167167
168,168168
169,169169
170,170170
171,171171
172,172172
173,173173
174,174174
175,175175
176,176176
177,177177
178,178178
179,179179
180,180180
181,181181
182,182182
183,183183
184,184184
185,185185
186,186186
187,187187
188,188188
189,189189
190,190190
191,191191
192,192192
193,193193
194,194194
195,195195
196,196196
197,197197
198,198198
199,199199
200,200200
201,201201
202,202202
203,203203
204,204204
205,205205
206,206206
207,207207
208,208208
209,209209
210,210210
211,211211
212,212212
213,213213
214,214214
215,215215
216,216216
217,217217
218,218218
219,219219
220,220220
221,221221
222,222222
223,223223
224,224224
225,225225
226,226226
227,227227
228,228228
229,229229
230,230230
231,231231
232,232232
233,233233
234,234234
235,235235
236,236236
237,237237
238,238238
239,239239
240,240240
241,241241
242,242242
243,243243
244,244244
245,245245
246,246246
247,247247
248,248248
249,249249
250,250250
251,251251
252,252252
253,253253
254,254254
255,255255
256,256256
257,257257
258,258258
259,259259
260,260260
261,261261
262,262262
263,263263
264,264264
265,265265
266,266266
267,267267
268,268268
269,269269
270,270270
271,271271
272,272272
273,273273
274,274274
275,275275
276,276276
277,277277
278,278278
279,279279
280,280280
281,281281
282,282282
283,283283
284,284284
285,285285
286,286286
287,287287
288,288288
289,289289
290,290290
291,291291
292,292292
293,293293
294,294294
295,295295
296,296296
297,297297
298,298298
299,299299
300,300300
301,301301
302,302302
303,303303
304,304304
305,305305
306,306306
307,307307
308,308308
309,309309
310,310310
311,311311
312,312312
313,313313
314,314314
315,315315
316,316316
317,317317
318,318318
319,319319
320,320320
321,321321
322,322322
323,323323
324,324324
325,325325
326,326326
327,327327
328,328328
329,329329
330,330330
331,331331
332,332332
333,333333
334,334334
335,335335
336,336336
337,337337
338,338338
339,339339
340,340340
341,341341
342,342342
343,343343
344,344344
345,345345
346,346346
347,347347
348,348348
349,349349
350,350350
351,351351
352,352352
353,353353
354,354354
355,355355
356,356356
357,357357
358,358358
359,359359
360,360360
361,361361
362,362362
363,363363
364,364364
365,365365
366,366366
367,367367
368,368368
369,369369
370,370370
371,371371
372,372372
373,373373
374,374374
375,375375
376,376376
377,377377
378,378378
379,379379
380,380380
381,381381
382,382382
383,383383
384,384384
385,385385
386,386386
387,387387
388,388388
389,389389
390,390390
391,391391
392,392392
393,393393
394,394394
395,395395
396,396396
397,397397
398,398398
399,399399
400,400400
401,401401
402,402402
403,403403
404,404404
405,405405
406,406406
407,407407
408,408408
409,409409
410,410410
411,411411
412,412412
413,413413
414,414414
415,415415
416,416416
417,417417
418,418418
419,419419
420,420420
421,421421
422,422422
423,423423
424,424424
425,425425
426,426426
427,427427
428,428428
429,429429
430,430430
431,431431
432,432432
433,433433
434,434434
435,435435
436,436436
437,437437
438,438438
439,439439
440,440440
441,441441
442,442442
443,443443
444,444444
445,445445
446,446446
447,447447
448,448448
449,449449
450,450450
451,451451
452,452452
453,453453
454,454454
455,455455
456,456456
457,457457
458,458458
459,459459
460,460460
461,461461
462,462462
463,463463
464,464464
465,465465
466,466466
467,467467
468,468468
469,469469
470,470470
471,471471
472,472472
473,473473
474,474474
475,475475
476,476476
477,477477
478,478478
479,479479
480,480480
481,481481
482,482482
483,483483
484,484484
485,485485
486,486486
487,487487
488,488488
489,489489
490,490490
491,491491
492,492492
493,493493
494,494494
495,495495
496,496496
497,497497
498,498498
499,499499
500,500500
501,501501
502,502502
503,503503
504,504504
505,505505
506,506506
507,507507
508,508508
509,509509
510,510510
511,511511
